product_id,product_name,brand,category_id,category_name,category_description,sku_id,sku_name,sku_image,sku_description,color,aggregateRating
P0001,Runner Flex 282,Fabrikam,CAT-100,Running Shoes,Footwear designed for running and jogging.,SKU00001,Runner Flex 282 - Blue,https://cdn.example.com/images/sku00001.jpg,Fabrikam Runner Flex 282 in Blue. Designed for running shoes users. Rating 3.3/5.,Blue,3.3
P0001,Runner Flex 282,Fabrikam,CAT-100,Running Shoes,Footwear designed for running and jogging.,SKU00002,Runner Flex 282 - White,https://cdn.example.com/images/sku00002.jpg,Fabrikam Runner Flex 282 in White. Designed for running shoes users. Rating 4.4/5.,White,4.4
P0002,Trail Edge 433,Nimbus,CAT-110,Trail Shoes,Durable shoes for off-road and trail running.,SKU00003,Trail Edge 433 - Black,https://cdn.example.com/images/sku00003.jpg,Nimbus Trail Edge 433 in Black. Designed for trail shoes users. Rating 3.2/5.,Black,3.2
P0003,Runner Edge 204,AdventureWorks,CAT-100,Running Shoes,Footwear designed for running and jogging.,SKU00004,Runner Edge 204 - Blue,https://cdn.example.com/images/sku00004.jpg,AdventureWorks Runner Edge 204 in Blue. Designed for running shoes users. Rating 3.9/5.,Blue,3.9
P0003,Runner Edge 204,AdventureWorks,CAT-100,Running Shoes,Footwear designed for running and jogging.,SKU00005,Runner Edge 204 - Green,https://cdn.example.com/images/sku00005.jpg,AdventureWorks Runner Edge 204 in Green. Designed for running shoes users. Rating 4.6/5.,Green,4.6
P0003,Runner Edge 204,AdventureWorks,CAT-100,Running Shoes,Footwear designed for running and jogging.,SKU00006,Runner Edge 204 - Black,https://cdn.example.com/images/sku00006.jpg,AdventureWorks Runner Edge 204 in Black. Designed for running shoes users. Rating 4.5/5.,Black,4.5
P0003,Runner Edge 204,AdventureWorks,CAT-100,Running Shoes,Footwear designed for running and jogging.,SKU00007,Runner Edge 204 - Red,https://cdn.example.com/images/sku00007.jpg,AdventureWorks Runner Edge 204 in Red. Designed for running shoes users. Rating 4.4/5.,Red,4.4
P0004,Voyager Pro 221,BlueRiver,CAT-200,Travel Backpacks,Carry-on friendly backpacks with multiple compartments.,SKU00008,Voyager Pro 221 - White,https://cdn.example.com/images/sku00008.jpg,BlueRiver Voyager Pro 221 in White. Designed for travel backpacks users. Rating 3.2/5.,White,3.2
P0004,Voyager Pro 221,BlueRiver,CAT-200,Travel Backpacks,Carry-on friendly backpacks with multiple compartments.,SKU00009,Voyager Pro 221 - White,https://cdn.example.com/images/sku00009.jpg,BlueRiver Voyager Pro 221 in White. Designed for travel backpacks users. Rating 3.7/5.,White,3.7
P0004,Voyager Pro 221,BlueRiver,CAT-200,Travel Backpacks,Carry-on friendly backpacks with multiple compartments.,SKU00010,Voyager Pro 221 - Yellow,https://cdn.example.com/images/sku00010.jpg,BlueRiver Voyager Pro 221 in Yellow. Designed for travel backpacks users. Rating 4.2/5.,Yellow,4.2
P0005,Pulse Edge 128,Contoso,CAT-400,Wireless Earbuds,Compact audio devices with Bluetooth connectivity.,SKU00011,Pulse Edge 128 - White,https://cdn.example.com/images/sku00011.jpg,Contoso Pulse Edge 128 in White. Designed for wireless earbuds users. Rating 4.1/5.,White,4.1
P0005,Pulse Edge 128,Contoso,CAT-400,Wireless Earbuds,Compact audio devices with Bluetooth connectivity.,SKU00012,Pulse Edge 128 - Teal,https://cdn.example.com/images/sku00012.jpg,Contoso Pulse Edge 128 in Teal. Designed for wireless earbuds users. Rating 4.2/5.,Teal,4.2
P0005,Pulse Edge 128,Contoso,CAT-400,Wireless Earbuds,Compact audio devices with Bluetooth connectivity.,SKU00013,Pulse Edge 128 - Yellow,https://cdn.example.com/images/sku00013.jpg,Contoso Pulse Edge 128 in Yellow. Designed for wireless earbuds users. Rating 4.2/5.,Yellow,4.2
P0005,Pulse Edge 128,Contoso,CAT-400,Wireless Earbuds,Compact audio devices with Bluetooth connectivity.,SKU00014,Pulse Edge 128 - Maroon,https://cdn.example.com/images/sku00014.jpg,Contoso Pulse Edge 128 in Maroon. Designed for wireless earbuds users. Rating 3.1/5.,Maroon,3.1
P0006,Voyager X 876,AdventureWorks,CAT-200,Travel Backpacks,Carry-on friendly backpacks with multiple compartments.,SKU00015,Voyager X 876 - White,https://cdn.example.com/images/sku00015.jpg,AdventureWorks Voyager X 876 in White. Designed for travel backpacks users. Rating 3.8/5.,White,3.8
P0006,Voyager X 876,AdventureWorks,CAT-200,Travel Backpacks,Carry-on friendly backpacks with multiple compartments.,SKU00016,Voyager X 876 - Purple,https://cdn.example.com/images/sku00016.jpg,AdventureWorks Voyager X 876 in Purple. Designed for travel backpacks users. Rating 4.3/5.,Purple,4.3
P0007,Hoops Lite 364,BlueRiver,CAT-120,Basketball Shoes,High-traction shoes for court performance.,SKU00017,Hoops Lite 364 - Teal,https://cdn.example.com/images/sku00017.jpg,BlueRiver Hoops Lite 364 in Teal. Designed for basketball shoes users. Rating 3.5/5.,Teal,3.5
P0007,Hoops Lite 364,BlueRiver,CAT-120,Basketball Shoes,High-traction shoes for court performance.,SKU00018,Hoops Lite 364 - Teal,https://cdn.example.com/images/sku00018.jpg,BlueRiver Hoops Lite 364 in Teal. Designed for basketball shoes users. Rating 4.3/5.,Teal,4.3
P0008,Hoops Edge 747,Aster,CAT-120,Basketball Shoes,High-traction shoes for court performance.,SKU00019,Hoops Edge 747 - Red,https://cdn.example.com/images/sku00019.jpg,Aster Hoops Edge 747 in Red. Designed for basketball shoes users. Rating 3.9/5.,Red,3.9
P0008,Hoops Edge 747,Aster,CAT-120,Basketball Shoes,High-traction shoes for court performance.,SKU00020,Hoops Edge 747 - Green,https://cdn.example.com/images/sku00020.jpg,Aster Hoops Edge 747 in Green. Designed for basketball shoes users. Rating 5.0/5.,Green,5.0
P0009,Street Flex 333,Nimbus,CAT-130,Casual Sneakers,Everyday sneakers for comfort and style.,SKU00021,Street Flex 333 - Blue,https://cdn.example.com/images/sku00021.jpg,Nimbus Street Flex 333 in Blue. Designed for casual sneakers users. Rating 4.6/5.,Blue,4.6
P0010,Chrono Lite 68,BlueRiver,CAT-300,Smartwatches,Wearables for fitness tracking and notifications.,SKU00022,Chrono Lite 68 - Navy,https://cdn.example.com/images/sku00022.jpg,BlueRiver Chrono Lite 68 in Navy. Designed for smartwatches users. Rating 4.8/5.,Navy,4.8
P0010,Chrono Lite 68,BlueRiver,CAT-300,Smartwatches,Wearables for fitness tracking and notifications.,SKU00023,Chrono Lite 68 - Yellow,https://cdn.example.com/images/sku00023.jpg,BlueRiver Chrono Lite 68 in Yellow. Designed for smartwatches users. Rating 3.4/5.,Yellow,3.4
P0011,Chrono Flex 470,Proxima,CAT-300,Smartwatches,Wearables for fitness tracking and notifications.,SKU00024,Chrono Flex 470 - Green,https://cdn.example.com/images/sku00024.jpg,Proxima Chrono Flex 470 in Green. Designed for smartwatches users. Rating 3.3/5.,Green,3.3
